LOT,LOW,HIGH,DESCRIPT,TYPESET,FOOTNOTE,CROSSHEAD,REFNO
11,4000,6000,Self-Portrait in a Convex Mirror by John Ashbery.,"Self-Portrait in a Convex Mirror by John Ashbery.

Portfolio with complete text, recording by Helen Vendler and one offset lithograph, 4 lithographs, one woodcut, one soft-ground etching with aquatint and one photogravure, 1984. Each 450 mm; 18 inches (diameter, sheets), full margins, loose as issued.Numbered 158/175 in pencil on the justification page. Each print signed and some numbered 158/175 in pencil, lower margin. Signed by Ashbery and Andrew Hoyem of Arion Press in pencil on the introductory pages. Printed by Magnolia Editions, Oakland, Hampton Editions, Ltd., Sag Harbor, Arion Press, San Francisco, Siena Studio, New York, Crommelynck, Paris, and ULAE, West Islip. Published by Arion Press, San Francisco. Original cylindrical stainless steel canister with convex mirror. Very good impressions.Includes prints by AVEDON, WILLEM DE KOONING, ELAINE DE KOONING, DINE, FREILICHER, KATZ, KITAJ and RIVERS.",,,773798
12,2000,3000,ROBERT MOTHERWELL Untitled.,"ROBERT MOTHERWELL
Untitled.

Lithograph on Arches, 1966. 480x360 mm; 19x14 inches, full margins. Signed and numbered 118/225 in pencil, lower margin. Printed by Irwin Hollander, New York, with the blind stamp lower right. Published by Tanglewood Press, New York. From New York International. A very good impression of this early lithograph. Belknap 28.",,,776748
13,2000,3000,ROBERT MOTHERWELL Africa Suite #7.,"ROBERT MOTHERWELL
Africa Suite #7.

Color screenprint on J. B. Green paper, 1970. 795x595 mm; 31¼x23 inches, full margins. Initialed and numbered 93/150 in pencil, lower margin, and with the artist's blind stamp lower right. Printed by Kelpra Studio, London, with the ink stamp verso. Published by Marlborough Graphics, Inc., New York. From the same-titled series. A very good impression. Belknap 46.",,,776741
14,3000,5000,ROBERT MOTHERWELL The Basque Suite #6.,"ROBERT MOTHERWELL
The Basque Suite #6.

Color screenprint printed in green, orange, black and red on J. B. Green paper, 1970-71. 571x442 mm; 22½x17 inches, full margins. Initialed and numbered 107/150 in pencil, lower right. Printed by Kelpra Studio, London. Published by Marlborough Graphics, Inc., London. A very good impression with strong colors. Belknap 55.",,,776747
15,7000,10000,ROBERT MOTHERWELL Soot-Black Stones Series.,"ROBERT MOTHERWELL
Soot-Black Stones Series.

Set of 6 lithographs on Hawthorne of Larroque handmade paper, 1973. Each 762x305 mm; 30x12 inches, full margins. Each signed and numbered 49/50 in pencil, lower right. Printed and published by Gemini G.E.L., Los Angeles, with the blind stamps. Very good, well-inked impressions of these scarce lithographs. Belknap 113-118.",,,776834
16,2500,3500,ROBERT MOTHERWELL Glass Garden.,"ROBERT MOTHERWELL
Glass Garden.

Aquatint and etching printed in black with green Chine collé on Hawthorne of Larroque handmade paper, 1979-84. 249x572 mm; 9¾x22½ inches, full margins. Signed and numbered 58/59 in pencil, lower right. Printed by Catherine Mosley at the artist's studio, Greenwich, with the artist's blind stamp lower right. Published by Tyler Graphics, Ltd., Mount Kisco. A very good impression of this scarce etching. Belknap 312.",,,775897
17,2500,3500,ROBERT MOTHERWELL Primal Sign II.,"ROBERT MOTHERWELL
Primal Sign II.

Color aquatint and lift-ground etching on German Etching paper, 1979-80. 585x254 mm; 23x10 inches, full margins. Initialed and numbered 40/45 in ink, lower right. Printed by Catherine Mosley at the artist's studio, Greenwich, with the artist's blind stamp lower right. Published by Petersburg Press, New York. A very good, richly-inked impression of this scarce print. Belknap 235.",,,775902
18,3000,5000,"ROBERT MOTHERWELL Summer Light Series: Harvest, with Blue Bottom.","ROBERT MOTHERWELL
Summer Light Series: Harvest, with Blue Bottom.

Color lithograph and collage on Hawthorne of Larroque handmade paper, 1973. 914x458 mm; 36x18 inches (sheet), full margins. Signed and numbered 22/55 in pencil, lower right. Printed and published by Gemini G.E.L., Los Angeles, with the blind stamps lower right. A very good impression with strong colors. Belknap 124.",,,775900
19,3000,5000,"ROBERT MOTHERWELL Summer Light Series: Harvest, with Blue Shadow.","ROBERT MOTHERWELL
Summer Light Series: Harvest, with Blue Shadow.

Color lithograph and collage on Hawthorne of Larroque handmade paper, 1973. 914x458 mm; 36x18 inches (sheet), full margins. Signed and numbered 22/55 in pencil, lower right. Printed and published by Gemini G.E.L., Los Angeles, with the blind stamps lower right. A very good impression with strong colors. Belknap 125.",,,775899
20,3000,5000,"ROBERT MOTHERWELL Summer Light Series: Harvest, with Orange Stripe.","ROBERT MOTHERWELL
Summer Light Series: Harvest, with Orange Stripe.

Color lithograph and collage on Hawthorne of Larroque handmade paper, 1973. 914x458 mm; 36x18 inches (sheet), full margins. Signed and numbered 1/55 in pencil, lower right. Printed and published by Gemini G.E.L., Los Angeles, with the blind stamps lower right. A very good impression with strong colors. Belknap 127.",,,775895
21,2000,3000,ROBERT MOTHERWELL Tricolor.,"ROBERT MOTHERWELL
Tricolor.

Color offset lithograph on Arches Cover paper, 1973. 571x355 mm; 22½x14 inches (sheet), full margins. Signed and numbered 13/125 in pencil, lower right. Printed by Mourlot, Paris, from a plate prepared at ULAE, West Islip. A superb impression with strong colors. Belknap App. 24.",,,774817
22,3000,5000,ROBERT MOTHERWELL Art 1981 Chicago Print.,"ROBERT MOTHERWELL
Art 1981 Chicago Print.

Color lithograph on Arches Cover paper, 1981. 864x635 mm; 34x25 inches (sheet), full margins. Signed and numbered 67/150 in pencil, lower right. Printed by Tyler Graphics, Ltd., Bedford, with the blind stamp lower right. Commissioned by the Lakeside Group for the Art 1981 Chicago exposition. A very good impression with strong colors. Belknap 249.",,,775999
23,12000,18000,ROBERT MOTHERWELL Red Sea II.,"ROBERT MOTHERWELL
Red Sea II.

Color aquatint and etching on German Etching paper, 1979. 598x502 mm; 23x19 inches, full margins. One of 20 numbered artist's proofs, aside from the edition of 100. Signed, inscribed ""a.p."" and numbered III/XX in pencil, lower margin. Printed by Catherine Mosley, at the artist's studio, Greenwich, Connecticut, with the blind stamp lower right. Published by Harry N. Abrams, Inc., New York. A superb, richly-inked impression with vibrant colors. Belknap 211.",,,773732
24,40000,60000,ROBERT MOTHERWELL Untitled.,"ROBERT MOTHERWELL
Untitled.

Monotype in purple and black acrylic on paper, 1975. 765x570 mm; 30¼x22½ inches. Signed in ink, upper left recto.Ex-collection Jerald Melberg Gallery, Charlotte, with the label; private collection, Chicago.The artist's identification number for the current work is P75-3349.",,,776506
25,1000,1500,ROBERT MOTHERWELL Return (Octavio Paz Suite).,"ROBERT MOTHERWELL
Return (Octavio Paz Suite).

Color lithograph on Chine appliqué, 1987. 460x271 mm; 18¼x10 inches, full margins. One of 10 numbered artist's proofs, aside from the deluxe edition of 50. Signed, inscribed ""ap"" and numbered IX/X in pencil, lower margin. Printed by Trestle Editions, Ltd., New York. Published by The Limited Editions Club, New York. From Octavio Paz Suite. A very good impression. Belknap 363.",,,775275
26,1500,2500,ROBERT MOTHERWELL Je t'aime.,"ROBERT MOTHERWELL
Je t'aime.

Lithograph printed in black on handmade Japanese Gampi appliqué, 1987-88. 439x270 mm; 17¼x10 inches, full margins. Initialed and numbered 24/50 in pencil, lower right. Printed by Trestle Editions, Ltd., New York. Published by The Limited Editions Club, New York. A very good impression of this scarce lithograph. Belknap 375.",,,773904
27,2000,3000,ROBERT MOTHERWELL Untitled.,"ROBERT MOTHERWELL
Untitled.

Color lithograph with embossing on Arches Cover paper, 1982. 762x572 mm; 30x22½ inches (sheet), full margins. Trial proof, aside from the edition of 250. Signed and inscribed ""TP"" in pencil, lower right. Printed by Tyler Graphics, Ltd., Bedford, with the blind stamp lower right. Published by New York Graphic Society, Greenwich. From New York Portfolio. A very good impression. Belknap 260.",,,775901
28,1500,2500,KIMBER SMITH Untitled.,"KIMBER SMITH
Untitled.

Oil on board, 1952. 302x227 mm; 11x9 inches. Signed and dated in oil and crayon, verso.Ex-collection private collection, New York.Smith (1933-1981), a native to Boston, studied at the Art Students League in New York and became part of the circle of second generation Abstract Expressionists, counting as close friends fellow artists Joan Mitchell (1925-1992, see lot 51) and Helen Frankenthaler (1928-2011, see lots 54-57, lot 199 and lot 200). Smith’s style resembles Frankenthaler’s color field paintings and relies on floating, simple forms and color theory. His abstractions were described as “lyrical,” often giving a sense of tranquility.Smith’s first exhibition was alongside Joan Mitchell at the New Gallery in New York and he continued to exhibit in the U.S. through the 1950s before moving to Paris following his wife’s correspondent assignment with Life magazine. Paris’ ex-patriate community of artists, including Sam Francis (1923-1994, see lots 66-70) welcomed Smith and he exhibited widely through Europe. The Smiths returned to New York in 1966, where the artist started to experiment with new media, including spray paint. Smith’s work has received renewed interest in recent years and his works are represented in permanent collections at institutions internationally.",,,772948
29,1500,2500,PHILIP GUSTON August.,"PHILIP GUSTON
August.

Screenprint on Plexiglas, 1966. 762x1016 mm; 30x40 inches (sheet), full margins. Edition of 125. Signed and numbered 101/125 in ink on the label, verso. Printed by Knickerbocker Machine & Foundry, Inc., New York. Published by Multiples Press, Inc., New York. From Four on Plexiglas. Semff 16.",,,776140
30,7000,10000,MICHAEL LOEW Abstract Still Life.,"MICHAEL LOEW
Abstract Still Life.

Oil on canvas, circa 1950. 510x610 mm; 20x24 inches. Signed in oil, lower right recto, and signed with the artist's address in oil, verso.Ex-collection Albert Argentieri, New Jersey; thence by descent, private collection, New Jersey.Loew (1907-1985) was a member of the New York School of Abstract Expressionist painters and was influenced by the Neo-Plasticism principles of Piet Mondrian (1872-1944). He became close friends with Willem de Kooning (see lots 5-10); the two completed a mural project for the 1939 New York World’s Fair. During this time Loew also began to experiment with abstract elements, influenced by Arshile Gorky (1904-1948) and Fernand Léger (1881-1955).Loew also worked as a stained glass apprentice while attending night classes at the Art Students League in New York following his graduation from high school. Among his Art Students League colleagues were David Smith and Jackson Pollock (see lot 1). He studied for several years in Paris and returned to New York at the height of the Great Depression, where he became roommates with Lee Krasner (seelots 58-59) in the East Village. He worked as a restorer and redecorator of churches before his employment by the Treasury Department and later, the Works Progress Association (W.P.A.). After enlisting in the U.S. Navy during World War II, Loew studied with Hans Hofmann (1880-1966) and became interested in Cubism and Neo-Plasticism. His first solo exhibition was with the Artists Gallery in New York in 1949. He continued to travel, teach and exhibit in the United States and Paris through the 1980s.",,,775521
31,3000,5000,LOUISE NEVELSON Trees.,"LOUISE NEVELSON
Trees.

Aquatint and etching with hand coloring in watercolor on cream wove paper, circa 1955. 355x523 mm; 14x20 inches, full margins. Artist's proof, a unique impression with hand coloring and aside from the edition of approximately only 20. A brilliant, early impression of this extremely scarce proof.Ex-collection Albert Argentieri, New Jersey, friend of the artist; thence by descent, private collection, New Jersey. During the 1950s and 1960s, Argentieri, a photographer and artist, lived near Louise Nevelson (1899-1988) and her assistant, Ted Haseltine, his dear friend. Albert photographed Louise, her artworks and sculptures. When staying in New Jersey, both Albert and Ted would collect wooden pieces from abandoned buildings and other locations for Nevelson to use in her sculptures. The early etchings and drawings she gifted to Argentieri are unique (see lots 31-46).Both this etching and Trees in Circle, circa 1955 (Baro 29) were inspired by Maine landscapes which Nevelson encountered growing up in Rockland during the 1910s and 1920s. Baro 28.",,,775496
32,1500,2500,LOUISE NEVELSON The Silent One.,"LOUISE NEVELSON
The Silent One.

Etching and drypoint on thin wove paper, 1953-55. 530x353 mm; 20¾x13 inches, full margins. Artist's proof, aside from the edition of 30. Signed and titled ""Girl"" in pencil, lower margin. A brilliant, richly-inked, early impression of this extremely scarce proof.Ex-collection Albert Argentieri, New Jersey, friend of the artist; thence by descent, private collection, New Jersey. During the 1950s and 1960s, Argentieri, a photographer and artist, lived near Louise Nevelson (1899-1988) and her assistant, Ted Haseltine, his dear friend. Albert photographed Louise, her artworks and sculptures. When staying in New Jersey, both Albert and Ted would collect wooden pieces from abandoned buildings and other locations for Nevelson to use in her sculptures. The early etchings and drawings she gifted to Argentieri are unique (see lots 31-46). Baro 23.",,,775497
33,1500,2500,LOUISE NEVELSON Far Away Landscape.,"LOUISE NEVELSON
Far Away Landscape.

Etching, 1952-54. 385x414 mm; 15x16 inches, full margins. One of only several artist's proofs (there was no published edition; not recorded by Baro; there is another impression at the Brooklyn Museum, New York). Signed and titled in pencil, lower margin. A very good impression of this extremely scarce etching.Ex-collection Albert Argentieri, New Jersey, friend of the artist; thence by descent, private collection, New Jersey. During the 1950s and 1960s, Argentieri, a photographer and artist, lived near Louise Nevelson (1899-1988) and her assistant, Ted Haseltine, his dear friend. Albert photographed Louise, her artworks and sculptures; both Albert and Ted, when staying in New Jersey would collect wooden pieces from abandoned buildings and other locations for Nevelson to use in her sculptures. The early etchings and drawings she gifted to Argentieri are unique (see lots 31-46).We have not found another impression at auction in the past 30 years.",,,775499
34,1500,2500,LOUISE NEVELSON Night Garden.,"LOUISE NEVELSON
Night Garden. 

Aquatint and etching on cream wove paper, circa 1955. 373x452 mm; 14x17¾ inches, full margins. Artist's proof, aside from the edition of approximately only 20. Signed and titled ""Ancient Garden"" in pencil, lower margin. A superb, richly-inked impression of this extremely scarce etching.Ex-collection Albert Argentieri, New Jersey, friend of the artist; thence by descent, private collection, New Jersey. During the 1950s and 1960s, Argentieri, a photographer and artist, lived near Louise Nevelson (1899-1988) and her assistant, Ted Haseltine, his dear friend. Albert photographed Louise, her artworks and sculptures; both Albert and Ted, when staying in New Jersey would collect wooden pieces from abandoned buildings and other locations for Nevelson to use in her sculptures. The early etchings and drawings she gifted to Argentieri are unique (see lots 31-46).According to Baro, ""This etching was one of Nevelson's favorites. Forms are less a matter of continuous modulations of tone rationalized by line than in other work of this time. The pictorial activity is more completely on the surface and is not veiled by a linear network of energies. The shapes themselves are in literal and tonal interaction though, to be sure, there is some drawing. Nevertheless, this etching is important as reflecting the breaking up of sculptural form."" Baro 18.",,,775495
35,1500,2000,LOUISE NEVELSON One Ancient Figures.,"LOUISE NEVELSON
One Ancient Figures. 

Etching and aquatint on cream wove paper, circa 1955. 452x498 mm; 17¾x19¾ inches, full margins. Signed, titled ""Personages"" and numbered 1/20 in pencil, lower margin. A very good, early impression.Ex-collection Albert Argentieri, New Jersey, friend of the artist; thence by descent, private collection, New Jersey. During the 1950s and 1960s, Argentieri, a photographer and artist, lived near Louise Nevelson (1899-1988) and her assistant, Ted Haseltine, his dear friend. Albert photographed Louise, her artworks and sculptures. When staying in New Jersey, both Albert and Ted would collect wooden pieces from abandoned buildings and other locations for Nevelson to use in her sculptures. The early etchings and drawings she gifted to Argentieri are unique (see lots 31-46).  Baro 20.",,,775504
36,3000,5000,LOUISE NEVELSON Couple.,"LOUISE NEVELSON
Couple.

Pen and ink on paper, circa 1930s. 585x360 mm; 23x14¼ inches. Signed in ink, lower left recto.Ex-collection Albert Argentieri, New Jersey, friend of the artist; thence by descent, private collection, New Jersey. During the 1950s and 1960s, Argentieri, a photographer and artist, lived near Louise Nevelson (1899-1988) and her assistant, Ted Haseltine, his dear friend. Albert photographed Louise, her artworks and sculptures. When staying in New Jersey, both Albert and Ted would collect wooden pieces from abandoned buildings and other locations for Nevelson to use in her sculptures. The early etchings and drawings she gifted to Argentieri are unique (see lots 31-46).",,,775505
37,1500,2500,LOUISE NEVELSON Ancient Soldier.,"LOUISE NEVELSON
Ancient Soldier.

Color pencils, ink and pencil on olive green paper, circa 1955. 402x280 mm; 16x11 inches. Signed in ink, lower right recto.Ex-collection Albert Argentieri, New Jersey, friend of the artist; thence by descent, private collection, New Jersey. During the 1950s and 1960s, Argentieri, a photographer and artist, lived near Louise Nevelson (1899-1988) and her assistant, Ted Haseltine, his dear friend. Albert photographed Louise, her artworks and sculptures. When staying in New Jersey, both Albert and Ted would collect wooden pieces from abandoned buildings and other locations for Nevelson to use in her sculptures. The early etchings and drawings she gifted to Argentieri are unique (see lots 31-46).",,,775498
38,3000,5000,LOUISE NEVELSON Three Female Figures.,"LOUISE NEVELSON
Three Female Figures.

Red ink and pencil on paper, circa 1930s. 282x225 mm; 11x8 inches. Signed in black ink, lower center recto and inscribed ""5"" in pencil, verso.Ex-collection Albert Argentieri, New Jersey, friend of the artist; thence by descent, private collection, New Jersey. During the 1950s and 1960s, Argentieri, a photographer and artist, lived near Louise Nevelson (1899-1988) and her assistant, Ted Haseltine, his dear friend. Albert photographed Louise, her artworks and sculptures. When staying in New Jersey, both Albert and Ted would collect wooden pieces from abandoned buildings and other locations for Nevelson to use in her sculptures. The early etchings and drawings she gifted to Argentieri are unique (see lots 31-46).",,,775503
39,3000,5000,LOUISE NEVELSON Two Male Figures.,"LOUISE NEVELSON
Two Male Figures.

Pen and ink on paper, circa 1930s. 580x347 mm; 22x13¾ inches. Signed in ink, lower center.Ex-collection Albert Argentieri, New Jersey, friend of the artist; thence by descent, private collection, New Jersey. During the 1950s and 1960s, Argentieri, a photographer and artist, lived near Louise Nevelson (1899-1988) and her assistant, Ted Haseltine, his dear friend. Albert photographed Louise, her artworks and sculptures. When staying in New Jersey, both Albert and Ted would collect wooden pieces from abandoned buildings and other locations for Nevelson to use in her sculptures. The early etchings and drawings she gifted to Argentieri are unique (see lots 31-46).",,,775501
40,3000,5000,LOUISE NEVELSON Three Female Nudes.,"LOUISE NEVELSON
Three Female Nudes.

Pen and ink on paper, circa 1930s. 360x185 mm; 14x7¼ inches. Signed in pencil, upper left recto.Ex-collection Albert Argentieri, New Jersey, friend of the artist; thence by descent, private collection, New Jersey. During the 1950s and 1960s, Argentieri, a photographer and artist, lived near Louise Nevelson (1899-1988) and her assistant, Ted Haseltine, his dear friend. Albert photographed Louise, her artworks and sculptures. When staying in New Jersey, both Albert and Ted would collect wooden pieces from abandoned buildings and other locations for Nevelson to use in her sculptures. The early etchings and drawings she gifted to Argentieri are unique (see lots 31-46).",,,775500
41,3000,5000,LOUISE NEVELSON Three Leaning Figures.,"LOUISE NEVELSON
Three Leaning Figures.

Pen and ink on paper, circa 1930s. 413x217 mm; 16¼x8 inches. Signed in ink, lower center recto.Ex-collection Albert Argentieri, New Jersey, friend of the artist; thence by descent, private collection, New Jersey. During the 1950s and 1960s, Argentieri, a photographer and artist, lived near Louise Nevelson (1899-1988) and her assistant, Ted Haseltine, his dear friend. Albert photographed Louise, her artworks and sculptures. When staying in New Jersey, both Albert and Ted would collect wooden pieces from abandoned buildings and other locations for Nevelson to use in her sculptures. The early etchings and drawings she gifted to Argentieri are unique (see lots 31-46).",,,775502
42,4000,6000,LOUISE NEVELSON Head of a Woman (Self Portrait).,"LOUISE NEVELSON
Head of a Woman (Self Portrait).

Pen and ink on paper, circa 1930s. 372x306 mm; 14¾x12 inches. Signed in ink, upper right recto.Ex-collection Albert Argentieri, New Jersey, friend of the artist; thence by descent, private collection, New Jersey. During the 1950s and 1960s, Argentieri, a photographer and artist, lived near Louise Nevelson (1899-1988) and her assistant, Ted Haseltine, his dear friend. Albert photographed Louise, her artworks and sculptures. When staying in New Jersey, both Albert and Ted would collect wooden pieces from abandoned buildings and other locations for Nevelson to use in her sculptures. The early etchings and drawings she gifted to Argentieri are unique (see lots 31-46).",,,775509
43,3000,5000,LOUISE NEVELSON Reclining Nude.,"LOUISE NEVELSON
Reclining Nude.

Pen and ink on paper, circa 1930s. 237x315 mm; 9¼x12½ inches. Signed in ink, lower right recto.Ex-collection Albert Argentieri, New Jersey, friend of the artist; thence by descent, private collection, New Jersey. During the 1950s and 1960s, Argentieri, a photographer and artist, lived near Louise Nevelson (1899-1988) and her assistant, Ted Haseltine, his dear friend. Albert photographed Louise, her artworks and sculptures. When staying in New Jersey, both Albert and Ted would collect wooden pieces from abandoned buildings and other locations for Nevelson to use in her sculptures. The early etchings and drawings she gifted to Argentieri are unique (see lots 31-46).",,,775514
44,3000,5000,LOUISE NEVELSON Three Animals.,"LOUISE NEVELSON
Three Animals.

Pen and ink on paper, circa 1930s. 300x404 mm; 11x16 inches. Signed in ink, lower right.Ex-collection Albert Argentieri, New Jersey, friend of the artist; thence by descent, private collection, New Jersey. During the 1950s and 1960s, Argentieri, a photographer and artist, lived near Louise Nevelson (1899-1988) and her assistant, Ted Haseltine, his dear friend. Albert photographed Louise, her artworks and sculptures. When staying in New Jersey, both Albert and Ted would collect wooden pieces from abandoned buildings and other locations for Nevelson to use in her sculptures. The early etchings and drawings she gifted to Argentieri are unique (see lots 31-46).",,,775506
45,3000,5000,LOUISE NEVELSON Seated Nude on a Bench.,"LOUISE NEVELSON
Seated Nude on a Bench.

Pen and ink on paper, circa 1930s. 370x160 mm; 14x6¼ inches. Signed in pencil, upper right recto.Ex-collection Albert Argentieri, New Jersey, friend of the artist; thence by descent, private collection, New Jersey. During the 1950s and 1960s, Argentieri, a photographer and artist, lived near Louise Nevelson (1899-1988) and her assistant, Ted Haseltine, his dear friend. Albert photographed Louise, her artworks and sculptures. When staying in New Jersey, both Albert and Ted would collect wooden pieces from abandoned buildings and other locations for Nevelson to use in her sculptures. The early etchings and drawings she gifted to Argentieri are unique (see lots 31-46).",,,775507
46,2500,3500,LOUISE NEVELSON Seated Nude on a Sofa.,"LOUISE NEVELSON
Seated Nude on a Sofa.

Pen and ink on cream wove paper, circa 1930. 354x581 mm; 14x22 inches. Signed in pencil, lower right recto.Ex-collection Albert Argentieri, New Jersey, friend of the artist; thence by descent, private collection, New Jersey. During the 1950s and 1960s, Argentieri, a photographer and artist, lived near Louise Nevelson (1899-1988) and her assistant, Ted Haseltine, his dear friend. Albert photographed Louise, her artworks and sculptures; both Albert and Ted. When staying in New Jersey, both Albert and Ted would collect wooden pieces from abandoned buildings and other locations for Nevelson to use in her sculptures. The early etchings and drawings she gifted to Argentieri are unique (see lots 31-46).",,,775996
47,2500,3500,LOUISE NEVELSON Male Nude.,"LOUISE NEVELSON
Male Nude.

Pencil on paper, 1936. 250x205 mm; 9¾x8 inches. Signed and dated in pencil, lower right.Ex-collection Washburn Gallery, New York with the label; private collection, Florida.",,,773229
48,12000,18000,LOUISE NEVELSON The Louise Nevelson Sculpture for the American Book Award.,"LOUISE NEVELSON
The Louise Nevelson Sculpture for the American Book Award.

Wood multiple painted in black, 1980. 385x400x55 mm; 15¼x15¾x2¼ inches. Edition of 100. Numbered ""43"" on the justification label, verso.Awarded to Deidre Bair in 1981 for her biography, Samuel Beckett, published by Harcourt, Brace, Janovich, Inc., New York.",,,776722
49,2000,3000,LEE BONTECOU Untitled.,"LEE BONTECOU
Untitled.

Color screenprint, 1973. 227x304 mm; 9x12 inches (sheet), full margins. Edition of 300. Signed and numbered 137/300 in pencil, lower right. Printed at Styria Studio, New York. Published by Experiments in Art and Technology, New York. From The New York Collection for Stockholm Portfolio. With the black ink copyright stamp verso. A superb impression.",,,775709
